id;cca2;continents;currencies;flag;languages;population;capital;bbox
56aa0f7e-92e2-4141-a95c-8252010a4af9;NA;Africa;Namibian dollar,South African rand;🇳🇦;Afrikaans,German,English,Herero,Khoekhoe,Kwangali,Lozi,Ndonga,Tswana;3022401;Windhoek;11.7216796875,-28.9387695313,25.2587890625,-16.9676757813
3026aa66-3948-46b4-8f87-221aabbefbab;IR;Asia;Iranian rial;🇮🇷;Persian (Farsi);85961000;Tehran;44.0232421875,25.1020996094,63.3051757812,39.7685546875
537d3f6d-131d-4e1c-8ca6-f0be9524bc9d;GQ;Africa;Central African CFA franc;🇬🇶;French,Portuguese,Spanish;1668768;Ciudad de la Paz;8.43427734375,0.960107421875,11.3353515625,3.75830078125
964116a8-666f-4f54-88b7-a8b387261797;MR;Africa;Mauritanian ouguiya;🇲🇷;Arabic;4927532;Nouakchott;-17.0639648438,14.7453613281,-4.82260742187,27.2859375
14be02bd-3541-48b3-b530-af5141700ae8;BH;Asia;Bahraini dinar;🇧🇭;Arabic;1594654;Manama;50.4524414063,25.8067871094,50.6174804688,26.2464355469
911b0a86-3d2d-4791-b99f-ab4e3d2c4f01;ET;Africa;Ethiopian birr;🇪🇹;Amharic;111652998;Addis Ababa;32.9989257813,3.45610351562,47.9782226563,14.8522949219
ed20b516-65e4-4624-ab84-abb1dd446835;ZM;Africa;Zambian kwacha;🇿🇲;English;19693423;Lusaka;21.97890625,-18.0415039062,33.6615234375,-8.19365234375
46dc35f2-6a43-4784-a570-c8476e85c201;BA;Europe;Bosnia and Herzegovina convertible mark;🇧🇦;Bosnian,Croatian,Serbian;3422000;Sarajevo;15.7366210938,42.5597167969,19.5837890625,45.2765625
59ca68c2-8a52-4148-8d2a-7db1c04d3733;GD;North America;Eastern Caribbean dollar;🇬🇩;English;109021;St. George's;-61.7821777344,12.0084472656,-61.60703125,12.2370117187
596b5ad7-a087-4ead-8e71-ea78112a3cb9;TH;Asia;Thai baht;🇹🇭;Thai;65859640;Bangkok;97.3739257812,5.63676757813,105.641015625,20.4244140625
72f22dd0-8f8b-4c16-9457-a33adb5da346;RO;Europe;Romanian leu;🇷🇴;Romanian;19036031;Bucharest;20.241796875,43.6708007812,29.705859375,48.2634765625
54b7ea6a-601e-4d86-8fe7-432596fa4017;VC;North America;Eastern Caribbean dollar;🇻🇨;English;110872;Kingstown;-61.353515625,12.6947265625,-61.1240234375,13.3587402344
84f4e79a-1a85-4da0-925f-14dda9543bb6;LR;Africa;Liberian dollar;🇱🇷;English;5248621;Monrovia;-11.5075195312,4.35131835938,-7.39990234375,8.5376953125
3f751fe9-ab4c-4732-9e19-b6b34005babe;US;North America;United States dollar;🇺🇸;English;340110988;Washington, D.C.;-178.19453125,18.9639160156,179.779980469,71.4076660156
6723ca43-2fe1-4e3f-8a55-93340ba210f0;SS;Africa;South Sudanese pound;🇸🇸;English;15786898;Juba;24.1473632813,3.49072265625,35.268359375,12.2230957031
a11b0573-e25c-4c15-b164-652000eb1472;AM;Asia;Armenian dram;🇦🇲;Armenian;3076200;Yerevan;43.439453125,38.8690429688,46.584765625,41.2909667969
c659458c-4ba5-4eb1-9a64-c6c5d4dc636c;JP;Asia;Japanese yen;🇯🇵;Japanese;123210000;Tokyo;123.679785156,24.2660644531,145.833007812,45.5095214844
c522e854-d983-40f8-b4d5-a539d1425461;PK;Asia;Pakistani rupee;🇵🇰;English,Urdu;241499431;Islamabad;60.843359375,23.7533691406,77.0486328125,37.0366699219
94610ca1-ce73-47f2-a583-848a7aa0087c;SZ;Africa;Swazi lilangeni,South African rand;🇸🇿;English,Swazi;1235549;Mbabane;30.7875,-27.3099609375,32.112890625,-25.74296875
716f6448-2e71-4de9-948d-0aee600ea071;LI;Europe;Swiss franc;🇱🇮;German;40900;Vaduz;9.4794921875,47.0573730469,9.610546875,47.2707519531
f5691849-1a76-48b2-8f48-3a141613c48d;IL;Asia;Israeli new shekel;🇮🇱;Arabic,Hebrew;10134800;Jerusalem;34.2453125,29.47734375,35.9134765625,33.4317382812
f957669b-73c6-427e-9311-e058a2080bd4;LK;Asia;Sri Lankan rupee;🇱🇰;Sinhala,Tamil;21763170;Sri Jayawardenepura Kotte;79.7078125,5.94936523438,81.876953125,9.8126953125
814b5d3e-f20c-4348-b858-6401cb1451f4;AL;Europe;Albanian lek;🇦🇱;Albanian;2363314;Tirana;19.2806640625,39.653515625,21.0310546875,42.6479492188
2de2585c-2e00-46a3-bc53-7539c6da560b;DZ;Africa;Algerian dinar;🇩🇿;Arabic;47400000;Algiers;-8.68334960938,18.9866210938,11.9678710938,37.0923828125
99cf5b99-4f38-431f-9966-9161b9859116;UA;Europe;Ukrainian hryvnia;🇺🇦;Ukrainian;32862000;Kyiv;22.1318359375,44.3875976562,40.1283203125,52.3535644531
32f8bd29-fb28-43b9-b129-a763b0dd4e2f;SM;Europe;euro;🇸🇲;Italian;34132;City of San Marino;12.396875,43.8940917969,12.5146484375,43.9897460938
